ID,prompt
0,A family having a picnic in a sunny summer meadow
1,A close-up of ice cream melting on a hot summer day
2,A vibrant summer flower garden with butterflies
3,A person reading a book under a summer oak tree
4,A beach scene with summer umbrellas and waves
5,A yellow lemonade stand on a summer afternoon
6,A cyclist riding through a summer countryside road
7,A pair of sunglasses on a summer-tiled patio
8,A summer farmer’s market with fresh fruits on display
9,A hammock strung between two trees in summer
10,A street musician playing guitar on a summer evening
11,A summer pool party with colorful floats
12,A close-up of dewy grass on a summer morning
13,A row of beach chairs facing the summer sea
14,A picnic basket on a summer blanket in the park
15,A family splashing in a summer river
16,A summer carnival with bright lights at dusk
17,A child running through a summer sprinkler
18,A summer sunset over a calm lake
19,A pair of flip-flops on hot summer sand
20,A couple dancing barefoot at a summer barn wedding
21,A golden retriever chasing a Frisbee in a summer park
22,A rustic wooden pier extending into a summer lake at dawn
23,A child blowing soap bubbles in a sunny backyard
24,A traveler with a backpack watching a summer mountain vista
25,A picnic table under a blossoming cherry tree in June
26,A field of sunflowers swaying in the summer breeze
27,A seaside boardwalk lined with food stalls on a hot day
28,A beach volleyball game under a clear blue sky
29,A summer rain shower over a quiet country road
